# NextExplorer — Polski (pl). key<TAB>value.
common.cancel	Anuluj
common.save	Zapisz
common.edit	Edytuj
common.retry	Spróbuj ponownie
common.delete	Usuń
common.remove	Usuń
common.clear	Wyczyść
common.done	Gotowe
common.ok	OK
common.openSettings	Otwórz Ustawienia
common.logOut	Wyloguj się
common.close	Zamknij
common.back	Wstecz
common.share	Udostępnij
common.download	Pobierz
common.sort	Sortuj
common.select	Zaznacz
common.search	Szukaj
common.password	Hasło
common.never	Nigdy
common.selectedCount	Zaznaczono: %lld
tab.browse	Przeglądaj
tab.favorites	Ulubione
tab.shared	Udostępnione
tab.downloads	Pobrane
tab.settings	Ustawienia
sort.sheetTitle	Sortuj według
sort.name	Nazwa
sort.size	Rozmiar
sort.kind	Rodzaj
sort.dateModified	Data modyfikacji
sort.dateAdded	Data dodania
sort.dateShared	Data udostępnienia
sort.expiration	Wygasa
sort.email	E-mail
sort.type	Typ
sort.ascending	Rosnąco
sort.descending	Malejąco
select.selectAll	Zaznacz wszystko
select.deselectAll	Odznacz wszystko
select.listView	Widok listy
select.gridView	Widok siatki
emptyState.folderEmpty	Ten folder jest pusty.
emptyState.loadFailed	Nie można połączyć się z serwerem.
emptyState.noSearchMatches	Brak wyników dla „%@”.
accessMode.readonly	Tylko do odczytu
accessMode.readwrite	Odczyt i zapis
shareTarget.anyone	Każdy z linkiem
shareTarget.users	Określeni użytkownicy
directLinkMode.auto	Automatycznie
directLinkMode.inline	Wyświetl
directLinkMode.raw	Surowy
directLinkMode.download	Pobierz
thumbnailSize.small	Mała
thumbnailSize.medium	Średnia
thumbnailSize.large	Duża
downloadLocation.documents	Dokumenty
downloadLocation.cache	Pamięć podręczna
dateFormat.automatic	Automatycznie
browse.navigationTitle	Przeglądaj
browse.scopeThisFolder	Ten folder
browse.scopeEverywhere	Wszędzie
browse.searchScopeInFolder	Ten folder
browse.searchScopeEverywhere	Wszędzie
browse.locations	Lokalizacje
browse.open	Otwórz
browse.unsupportedFileType	Nieobsługiwany typ pliku
browse.actionGetInfo	Informacje
browse.actionPermissions	Uprawnienia
browse.actionRename	Zmień nazwę
browse.actionExtract	Wypakuj
browse.actionCompress	Skompresuj
browse.actionDownload	Pobierz
browse.actionAddToFavorites	Dodaj do ulubionych
browse.actionRemoveFromFavorites	Usuń z ulubionych
browse.actionShare	Utwórz link do udostępniania
browse.actionDelete	Usuń
browse.renameTitle	Zmień nazwę
browse.renameNamePlaceholder	Nazwa
browse.actionNewFolder	Utwórz folder
browse.newFolderTitle	Nowy folder
browse.newFolderPlaceholder	Nazwa folderu
browse.newFolderConfirm	Utwórz
browse.deleteConfirmTitle	Usunąć?
browse.deleteConfirmOne	Usunąć „%@”?
browse.deleteConfirmMany	Usunąć %lld elementów?
browse.deleteMessage	Tej operacji nie można cofnąć.
browse.deleteLinkedSharesOne	Spowoduje to również usunięcie 1 linku udostępniania wskazującego tutaj.
browse.deleteLinkedSharesMany	Spowoduje to również usunięcie %lld linków udostępniania wskazujących tutaj.
