# NextExplorer — 繁體中文 (zh-TW). key<TAB>value.
common.cancel	取消
common.save	儲存
common.edit	編輯
common.retry	重試
common.delete	刪除
common.remove	移除
common.clear	清除
common.done	完成
common.ok	好
common.openSettings	打開設定
common.logOut	登出
common.close	關閉
common.back	返回
common.share	分享
common.download	下載
common.sort	排序
common.select	選取
common.search	搜尋
common.password	密碼
common.never	永不
common.selectedCount	已選取 %lld 個
tab.browse	瀏覽
tab.favorites	喜好項目
tab.shared	共享
tab.downloads	下載
tab.settings	設定
sort.sheetTitle	排序方式
sort.name	名稱
sort.size	大小
sort.kind	種類
sort.dateModified	修改日期
sort.dateAdded	加入日期
sort.dateShared	分享日期
sort.expiration	到期
sort.email	電子郵件
sort.type	類型
sort.ascending	遞增
sort.descending	遞減
select.selectAll	全選
select.deselectAll	取消全選
select.listView	列表顯示方式
select.gridView	網格顯示方式
emptyState.folderEmpty	此檔案夾是空的。
emptyState.loadFailed	無法連線到伺服器。
emptyState.noSearchMatches	沒有「%@」的結果。
accessMode.readonly	唯讀
accessMode.readwrite	讀寫
shareTarget.anyone	任何擁有連結的人
shareTarget.users	特定使用者
directLinkMode.auto	自動
directLinkMode.inline	檢視
directLinkMode.raw	原始
directLinkMode.download	下載
thumbnailSize.small	小
thumbnailSize.medium	中
thumbnailSize.large	大
downloadLocation.documents	文件
downloadLocation.cache	快取
dateFormat.automatic	自動
browse.navigationTitle	瀏覽
browse.scopeThisFolder	此檔案夾
browse.scopeEverywhere	所有位置
browse.searchScopeInFolder	此檔案夾
browse.searchScopeEverywhere	所有位置
browse.locations	位置
browse.open	打開
browse.unsupportedFileType	不支援的檔案類型
browse.actionGetInfo	顯示簡介
browse.actionPermissions	權限
browse.actionRename	重新命名
browse.actionExtract	解壓縮
browse.actionCompress	壓縮
browse.actionDownload	下載
browse.actionAddToFavorites	加入喜好項目
browse.actionRemoveFromFavorites	從喜好項目移除
browse.actionShare	建立共享連結
browse.actionDelete	刪除
browse.renameTitle	重新命名
browse.renameNamePlaceholder	名稱
browse.actionNewFolder	建立檔案夾
browse.newFolderTitle	新檔案夾
browse.newFolderPlaceholder	檔案夾名稱
browse.newFolderConfirm	建立
browse.deleteConfirmTitle	刪除？
browse.deleteConfirmOne	刪除「%@」？
browse.deleteConfirmMany	刪除 %lld 個項目？
browse.deleteMessage	此操作無法還原。
browse.deleteLinkedSharesOne	這也會移除 1 個指向此處的共享連結。
browse.deleteLinkedSharesMany	這也會移除 %lld 個指向此處的共享連結。
browse.deleteLinkedSharesUnavailable	無法檢查指向此處的連結。現有連結將停止運作。
browse.searchNoMatchesInFolder	沒有「%@」的結果。
browse.searchEverywhere	在所有位置搜尋
browse.searchFailed	無法搜尋。請檢查連線後重試。
browse.progressExtracting	正在解壓縮…
browse.progressCompressing	正在壓縮…
browse.progressDownloading	正在下載…
browse.progressDownloadingIndexed	正在下載 %2$lld 個中的第 %1$lld 個…
browse.downloadSavedTo	已儲存到 %@
browse.downloadSavedCountTo	已將 %2$lld 個中的 %1$lld 個項目儲存到 %3$@
browse.downloadSavedAllTo	已將 %1$lld 個項目儲存到 %2$@
browse.downloadBulkFailed	無法將這些項目儲存到您的裝置。
browse.offlineBannerTitle	離線
browse.offlineBannerDetail	正在顯示來自 %@ 的已儲存副本
browse.actionCopy	拷貝
browse.destinationPickerMoveTitle	移動到…
browse.destinationPickerConfirmMove	移動到此處
browse.destinationPickerNoFolders	此處沒有檔案夾
browse.destinationPickerLoadFailed	無法載入檔案夾。
browse.actionMove	移動
browse.actionPaste	貼上
browse.actionPasteCount	貼上 %lld 個項目
browse.actionPasteHere	貼上到此處
browse.actionClearClipboard	清除剪貼板
browse.clipboardMoveCount	%lld 個待移動
browse.clipboardCopyCount	%lld 個待拷貝
browse.clipboardCopiedOne	已拷貝 %@
browse.clipboardCopiedMany	已拷貝 %lld 個項目
browse.progressMoving	正在移動…
browse.progressCopying	正在拷貝…
browse.transferMoved	已移動 %lld 個項目
browse.transferCopied	已拷貝 %lld 個項目
browse.transferMovedWithSkipped	已移動 %1$lld 個項目，略過 %2$lld 個
browse.transferCopiedWithSkipped	已拷貝 %1$lld 個項目，略過 %2$lld 個
browse.transferConflictTitle	取代項目？
browse.transferConflictMessageOne	「%@」已存在於此檔案夾中。
browse.transferConflictMessageMany	%lld 個項目已存在於此檔案夾中。
browse.transferConflictReplace	取代
browse.transferConflictKeepBoth	兩者都保留
browse.actionOpenInBrowser	在瀏覽器中打開
favorites.navigationTitle	喜好項目
favorites.emptyList	在「瀏覽」中將檔案夾加上星號即可在此處查看。
favorites.actionRemoveFromFavorites	從喜好項目移除
favorites.actionEdit	編輯
favorites.editTitle	編輯喜好項目
favorites.editNameLabel	名稱
favorites.editNameErrorEmpty	名稱不能空白。
favorites.editIconLabel	圖像
favorites.editIconOutline	外框
favorites.editIconSolid	實心
favorites.editColorLabel	顏色
favorites.editColorDefault	預設
favorites.editSave	儲存
favorites.reorderFailed	無法儲存新順序。
favorites.removeConfirm	移除 %lld 個喜好項目？
favorites.removeMessage	這只會將它們從喜好項目移除。
favorites.removeFailedOne	無法移除該喜好項目。
favorites.removeFailedMany	無法移除這些喜好項目。
favorites.removePartial	已移除 %2$lld 個中的 %1$lld 個。
downloads.navigationTitle	下載
downloads.actionOpenInFiles	在「檔案」中打開
downloads.emptyList	您從「瀏覽」下載的檔案會顯示在此處。
downloads.deleteConfirmTitle	刪除？
downloads.deleteConfirmOne	刪除「%@」？
downloads.deleteConfirmMany	刪除 %lld 個檔案？
downloads.deleteSingleMessage	這只會移除本機副本。檔案仍保留在伺服器上。
downloads.deleteBulkMessage	這只會移除本機副本。檔案仍保留在伺服器上。
downloads.errorNameExists	同名檔案已存在。
downloads.errorInvalidName	該名稱不允許使用。
downloads.errorMissing	無法再找到該檔案。
downloads.errorGeneric	無法完成該操作。
unsupportedPreview.genericType	檔案
unsupportedPreview.cannotOpen	此 App 無法打開此類型的檔案。
uploads.navigationTitle	上傳
uploads.menuTitle	上傳
uploads.actionUploadFromFiles	從「檔案」上傳
uploads.actionUploadFromPhotos	從圖庫上傳
uploads.actionTakePhoto	拍照或錄影
uploads.cameraDeniedTitle	需要相機取用權限
uploads.cameraDeniedMessage	請在「設定」中允許相機取用，以便拍照或錄影。
uploads.destinationTitle	上傳到…
uploads.destinationConfirm	上傳到此處
uploads.reviewTitleOne	上傳 1 個檔案
uploads.reviewTitleMany	上傳 %lld 個檔案
uploads.reviewSectionFiles	檔案
uploads.reviewSectionPath	路徑
uploads.reviewSectionSize	總大小
uploads.reviewChooseFolder	選擇一個檔案夾
uploads.reviewUploadButton	上傳
uploads.reviewPreparing	正在準備 %lld 個…
uploads.reviewAddMore	加入更多檔案
uploads.reviewPreviewFile	預覽 %@
uploads.reviewInsecureNetworkNotice	透過 http 連線。如果此伺服器僅在您的家庭網路中，離開該網路時上傳將無法運作。
uploads.stagingFailed	無法加入這些檔案。請重試。
uploads.stagingSkipped	%lld 個項目無法準備，已被略過。
uploads.discardTitle	放棄上傳？
uploads.discardMessage	您加入的檔案將不會上傳。
uploads.discardConfirm	放棄
uploads.statusWaiting	等待中
uploads.statusFailed	上傳失敗
uploads.barTitleOne	正在上傳 %@
uploads.barTitleMany	正在上傳 %lld 個檔案
uploads.barFailedOne	1 個上傳失敗
uploads.barFailedMany	%lld 個上傳失敗
uploads.retryAll	全部重試
uploads.complete	上傳完成
uploads.completeMany	已上傳 %lld 個檔案
uploads.completeWithFailures	已上傳 %1$lld 個，失敗 %2$lld 個
uploads.failedGeneric	無法上傳此檔案。
uploads.clear	清除
uploads.emptyList	尚無上傳。
uploads.cancelAll	取消所有上傳
shared.navigationTitle	共享
shared.segmentByMe	由我共享
shared.segmentWithMe	與我共享
shared.sectionExpired	已過期
shared.badgeExpired	已過期
shared.emptyByMe	共享檔案或檔案夾後即可在此處查看其連結。
