# NextExplorer — 简体中文 (zh-CN). key<TAB>value.
common.cancel	取消
common.save	保存
common.edit	编辑
common.retry	重试
common.delete	删除
common.remove	移除
common.clear	清除
common.done	完成
common.ok	好
common.openSettings	打开设置
common.logOut	退出登录
common.close	关闭
common.back	返回
common.share	共享
common.download	下载
common.sort	排序
common.select	选择
common.search	搜索
common.password	密码
common.never	永不
common.selectedCount	已选择 %lld 项
tab.browse	浏览
tab.favorites	收藏
tab.shared	共享
tab.downloads	下载
tab.settings	设置
sort.sheetTitle	排序方式
sort.name	名称
sort.size	大小
sort.kind	种类
sort.dateModified	修改日期
sort.dateAdded	添加日期
sort.dateShared	共享日期
sort.expiration	到期
sort.email	电子邮件
sort.type	类型
sort.ascending	升序
sort.descending	降序
select.selectAll	全选
select.deselectAll	取消全选
select.listView	列表视图
select.gridView	网格视图
emptyState.folderEmpty	此文件夹为空。
emptyState.loadFailed	无法连接到服务器。
emptyState.noSearchMatches	没有“%@”的结果。
accessMode.readonly	只读
accessMode.readwrite	读写
shareTarget.anyone	任何拥有链接的人
shareTarget.users	特定用户
directLinkMode.auto	自动
directLinkMode.inline	查看
directLinkMode.raw	原始
directLinkMode.download	下载
thumbnailSize.small	小
thumbnailSize.medium	中
thumbnailSize.large	大
downloadLocation.documents	文稿
downloadLocation.cache	缓存
dateFormat.automatic	自动
browse.navigationTitle	浏览
browse.scopeThisFolder	此文件夹
browse.scopeEverywhere	所有位置
browse.searchScopeInFolder	此文件夹
browse.searchScopeEverywhere	所有位置
browse.locations	位置
browse.open	打开
browse.unsupportedFileType	不支持的文件类型
browse.actionGetInfo	显示简介
browse.actionPermissions	权限
browse.actionRename	重命名
browse.actionExtract	解压
browse.actionCompress	压缩
browse.actionDownload	下载
browse.actionAddToFavorites	添加到收藏
browse.actionRemoveFromFavorites	从收藏中移除
browse.actionShare	创建共享链接
browse.actionDelete	删除
browse.renameTitle	重命名
browse.renameNamePlaceholder	名称
browse.actionNewFolder	新建文件夹
browse.newFolderTitle	新建文件夹
browse.newFolderPlaceholder	文件夹名称
browse.newFolderConfirm	创建
browse.deleteConfirmTitle	删除？
browse.deleteConfirmOne	删除“%@”？
browse.deleteConfirmMany	删除 %lld 项？
browse.deleteMessage	此操作无法撤销。
browse.deleteLinkedSharesOne	这还会移除 1 个指向此处的共享链接。
browse.deleteLinkedSharesMany	这还会移除 %lld 个指向此处的共享链接。
browse.deleteLinkedSharesUnavailable	无法检查指向此处的链接。现有链接将停止工作。
browse.searchNoMatchesInFolder	没有“%@”的结果。
browse.searchEverywhere	在所有位置搜索
browse.searchFailed	无法搜索。请检查连接后重试。
browse.progressExtracting	正在解压…
browse.progressCompressing	正在压缩…
browse.offlineBannerTitle	离线
browse.offlineBannerDetail	正在显示来自 %@ 的已保存副本
browse.actionCopy	拷贝
browse.destinationPickerMoveTitle	移动到…
browse.destinationPickerConfirmMove	移动到此处
browse.destinationPickerNoFolders	此处没有文件夹
browse.destinationPickerLoadFailed	无法加载文件夹。
browse.actionMove	移动
browse.actionPaste	粘贴
browse.actionPasteCount	粘贴 %lld 项
browse.actionPasteHere	粘贴到此处
browse.actionClearClipboard	清空剪贴板
browse.clipboardMoveCount	%lld 项待移动
browse.clipboardCopyCount	%lld 项待拷贝
