# NextExplorer — 日本語 (ja). key<TAB>value.
common.cancel	キャンセル
common.save	保存
common.edit	編集
common.retry	再試行
common.delete	削除
common.remove	取り除く
common.clear	消去
common.done	完了
common.ok	OK
common.openSettings	設定を開く
common.logOut	ログアウト
common.close	閉じる
common.back	戻る
common.share	共有
common.download	ダウンロード
common.sort	並べ替え
common.select	選択
common.search	検索
common.password	パスワード
common.never	なし
common.selectedCount	%lld 件を選択中
tab.browse	ブラウズ
tab.favorites	お気に入り
tab.shared	共有
tab.downloads	ダウンロード
tab.settings	設定
sort.sheetTitle	並べ替え基準
sort.name	名前
sort.size	サイズ
sort.kind	種類
sort.dateModified	変更日
sort.dateAdded	追加日
sort.dateShared	共有日
sort.expiration	有効期限
sort.email	メール
sort.type	タイプ
sort.ascending	昇順
sort.descending	降順
select.selectAll	すべて選択
select.deselectAll	選択をすべて解除
select.listView	リスト表示
select.gridView	グリッド表示
emptyState.folderEmpty	このフォルダは空です。
emptyState.loadFailed	サーバに接続できませんでした。
emptyState.noSearchMatches	「%@」の結果がありません。
accessMode.readonly	読み出しのみ
accessMode.readwrite	読み書き
shareTarget.anyone	リンクを知っている全員
shareTarget.users	特定のユーザ
directLinkMode.auto	自動
directLinkMode.inline	表示
directLinkMode.raw	そのまま
directLinkMode.download	ダウンロード
thumbnailSize.small	小
thumbnailSize.medium	中
thumbnailSize.large	大
downloadLocation.documents	書類
downloadLocation.cache	キャッシュ
dateFormat.automatic	自動
browse.navigationTitle	ブラウズ
browse.scopeThisFolder	このフォルダ
browse.scopeEverywhere	すべての場所
browse.searchScopeInFolder	このフォルダ
browse.searchScopeEverywhere	すべての場所
browse.locations	場所
browse.open	開く
browse.unsupportedFileType	サポートされていないファイルタイプ
browse.actionGetInfo	情報を見る
browse.actionPermissions	アクセス権
browse.actionRename	名称変更
browse.actionExtract	展開
browse.actionCompress	圧縮
browse.actionDownload	ダウンロード
browse.actionAddToFavorites	お気に入りに追加
browse.actionRemoveFromFavorites	お気に入りから削除
browse.actionShare	共有リンクを作成
browse.actionDelete	削除
browse.renameTitle	名称変更
browse.renameNamePlaceholder	名前
browse.actionNewFolder	フォルダを作成
browse.newFolderTitle	新規フォルダ
browse.newFolderPlaceholder	フォルダ名
browse.newFolderConfirm	作成
browse.deleteConfirmTitle	削除しますか？
browse.deleteConfirmOne	「%@」を削除しますか？
browse.deleteConfirmMany	%lld 項目を削除しますか？
browse.deleteMessage	この操作は取り消せません。
browse.deleteLinkedSharesOne	ここを指す共有リンク 1 件も削除されます。
browse.deleteLinkedSharesMany	ここを指す共有リンク %lld 件も削除されます。
browse.deleteLinkedSharesUnavailable	ここを指すリンクを確認できませんでした。存在するリンクは機能しなくなります。
browse.searchNoMatchesInFolder	「%@」の結果がありません。
browse.searchEverywhere	すべての場所を検索
browse.searchFailed	検索できませんでした。接続を確認して再試行してください。
browse.progressExtracting	展開中…
browse.progressCompressing	圧縮中…
browse.progressDownloading	ダウンロード中…
browse.progressDownloadingIndexed	%2$lld 件中 %1$lld 件をダウンロード中…
browse.downloadSavedTo	%@ に保存しました
browse.downloadSavedCountTo	%2$lld 件中 %1$lld 件を %3$@ に保存しました
browse.downloadSavedAllTo	%1$lld 件を %2$@ に保存しました
browse.downloadBulkFailed	これらの項目をデバイスに保存できませんでした。
browse.offlineBannerTitle	オフライン
browse.offlineBannerDetail	%@ の保存済みコピーを表示中
browse.actionCopy	コピー
browse.destinationPickerMoveTitle	移動先…
browse.destinationPickerConfirmMove	ここに移動
