# NextExplorer — العربية (ar). key<TAB>value. لغة تُكتب من اليمين إلى اليسار.
common.cancel	إلغاء
common.save	حفظ
common.edit	تحرير
common.retry	إعادة المحاولة
common.delete	حذف
common.remove	إزالة
common.clear	مسح
common.done	تم
common.ok	موافق
common.openSettings	فتح الإعدادات
common.logOut	تسجيل الخروج
common.close	إغلاق
common.back	رجوع
common.share	مشاركة
common.download	تنزيل
common.sort	فرز
common.select	تحديد
common.search	بحث
common.password	كلمة السر
common.never	أبدًا
common.selectedCount	%lld محدد
tab.browse	تصفح
tab.favorites	المفضلة
tab.shared	المشتركة
tab.downloads	التنزيلات
tab.settings	الإعدادات
sort.sheetTitle	الفرز حسب
sort.name	الاسم
sort.size	الحجم
sort.kind	النوع
sort.dateModified	تاريخ التعديل
sort.dateAdded	تاريخ الإضافة
sort.dateShared	تاريخ المشاركة
sort.expiration	انتهاء الصلاحية
sort.email	البريد الإلكتروني
sort.type	النوع
sort.ascending	تصاعدي
sort.descending	تنازلي
select.selectAll	تحديد الكل
select.deselectAll	إلغاء تحديد الكل
select.listView	عرض القائمة
select.gridView	عرض الشبكة
emptyState.folderEmpty	هذا المجلد فارغ.
emptyState.loadFailed	تعذّر الوصول إلى الخادم.
emptyState.noSearchMatches	لا نتائج لـ ‏«%@».
accessMode.readonly	للقراءة فقط
accessMode.readwrite	قراءة وكتابة
shareTarget.anyone	أي شخص لديه الرابط
shareTarget.users	مستخدمون محددون
directLinkMode.auto	تلقائي
directLinkMode.inline	عرض
directLinkMode.raw	خام
directLinkMode.download	تنزيل
thumbnailSize.small	صغير
thumbnailSize.medium	متوسط
thumbnailSize.large	كبير
downloadLocation.documents	المستندات
downloadLocation.cache	ذاكرة التخزين المؤقت
dateFormat.automatic	تلقائي
browse.navigationTitle	تصفح
browse.scopeThisFolder	هذا المجلد
browse.scopeEverywhere	كل مكان
browse.searchScopeInFolder	هذا المجلد
browse.searchScopeEverywhere	كل مكان
browse.locations	المواقع
browse.open	فتح
browse.unsupportedFileType	نوع ملف غير مدعوم
browse.actionGetInfo	معلومات
browse.actionPermissions	الأذونات
browse.actionRename	إعادة تسمية
browse.actionExtract	استخراج
browse.actionCompress	ضغط
browse.actionDownload	تنزيل
browse.actionAddToFavorites	إضافة إلى المفضلة
browse.actionRemoveFromFavorites	إزالة من المفضلة
browse.actionShare	إنشاء رابط مشاركة
browse.actionDelete	حذف
browse.renameTitle	إعادة تسمية
browse.renameNamePlaceholder	الاسم
browse.actionNewFolder	إنشاء مجلد
browse.newFolderTitle	مجلد جديد
browse.newFolderPlaceholder	اسم المجلد
browse.newFolderConfirm	إنشاء
browse.deleteConfirmTitle	حذف؟
browse.deleteConfirmOne	حذف ‏«%@»؟
browse.deleteConfirmMany	حذف %lld عنصر؟
browse.deleteMessage	لا يمكن التراجع عن هذا الإجراء.
browse.deleteLinkedSharesOne	يؤدي هذا أيضًا إلى إزالة رابط مشاركة واحد يشير إلى هنا.
browse.deleteLinkedSharesMany	يؤدي هذا أيضًا إلى إزالة %lld رابط مشاركة تشير إلى هنا.
browse.deleteLinkedSharesUnavailable	تعذّر التحقق من الروابط التي تشير إلى هنا. أي روابط موجودة ستتوقف عن العمل.
browse.searchNoMatchesInFolder	لا نتائج لـ ‏«%@».
browse.searchEverywhere	البحث في كل مكان
browse.searchFailed	تعذّر البحث. تحقق من اتصالك وأعد المحاولة.
browse.progressExtracting	جارٍ الاستخراج…
browse.progressCompressing	جارٍ الضغط…
browse.progressDownloading	جارٍ التنزيل…
browse.progressDownloadingIndexed	جارٍ تنزيل %1$lld من %2$lld…
browse.downloadSavedTo	تم الحفظ في %@
browse.downloadSavedCountTo	تم حفظ %1$lld من %2$lld عنصر في %3$@
browse.downloadSavedAllTo	تم حفظ %1$lld عنصر في %2$@
browse.downloadBulkFailed	تعذّر حفظ هذه العناصر على جهازك.
browse.offlineBannerTitle	غير متصل
browse.offlineBannerDetail	يتم عرض نسخة محفوظة من %@
browse.actionCopy	نسخ
browse.destinationPickerMoveTitle	نقل إلى…
browse.destinationPickerConfirmMove	النقل إلى هنا
browse.destinationPickerNoFolders	لا مجلدات هنا
browse.destinationPickerLoadFailed	تعذّر تحميل المجلدات.
browse.actionMove	نقل
browse.actionPaste	لصق
browse.actionPasteCount	لصق %lld عنصر
browse.actionPasteHere	اللصق هنا
browse.actionClearClipboard	مسح الحافظة
browse.clipboardMoveCount	%lld للنقل
browse.clipboardCopyCount	%lld للنسخ
browse.clipboardCopiedOne	تم نسخ %@
browse.clipboardCopiedMany	تم نسخ %lld عنصر
browse.progressMoving	جارٍ النقل…
browse.progressCopying	جارٍ النسخ…
browse.transferMoved	تم نقل %lld عنصر
browse.transferCopied	تم نسخ %lld عنصر
browse.transferMovedWithSkipped	تم نقل %1$lld عنصر، وتم تخطي %2$lld
browse.transferCopiedWithSkipped	تم نسخ %1$lld عنصر، وتم تخطي %2$lld
browse.transferConflictTitle	استبدال العناصر؟
browse.transferConflictMessageOne	‏«%@» موجود بالفعل في هذا المجلد.
browse.transferConflictMessageMany	%lld عنصر موجود بالفعل في هذا المجلد.
browse.transferConflictReplace	استبدال
browse.transferConflictKeepBoth	الاحتفاظ بكليهما
browse.actionOpenInBrowser	فتح في المتصفح
favorites.navigationTitle	المفضلة
favorites.emptyList	ضع علامة نجمة على المجلدات في تصفح لتظهر هنا.
favorites.actionRemoveFromFavorites	إزالة من المفضلة
favorites.actionEdit	تحرير
favorites.editTitle	تحرير المفضلة
favorites.editNameLabel	الاسم
favorites.editNameErrorEmpty	لا يمكن أن يكون الاسم فارغًا.
favorites.editIconLabel	الأيقونة
favorites.editIconOutline	محدد
favorites.editIconSolid	ممتلئ
favorites.editColorLabel	اللون
favorites.editColorDefault	افتراضي
favorites.editSave	حفظ
favorites.reorderFailed	تعذّر حفظ الترتيب الجديد.
favorites.removeConfirm	إزالة %lld من المفضلة؟
favorites.removeMessage	هذا يزيلها من المفضلة فقط.
favorites.removeFailedOne	تعذّر إزالة تلك المفضلة.
favorites.removeFailedMany	تعذّر إزالة تلك المفضلات.
favorites.removePartial	تمت إزالة %1$lld من %2$lld.
downloads.navigationTitle	التنزيلات
downloads.actionOpenInFiles	فتح في الملفات
downloads.emptyList	تظهر هنا الملفات التي تنزّلها من تصفح.
downloads.deleteConfirmTitle	حذف؟
downloads.deleteConfirmOne	حذف ‏«%@»؟
downloads.deleteConfirmMany	حذف %lld ملف؟
downloads.deleteSingleMessage	هذا يزيل النسخة المحلية فقط. يبقى الملف على الخادم.
downloads.deleteBulkMessage	هذا يزيل النسخ المحلية فقط. تبقى الملفات على الخادم.
downloads.errorNameExists	يوجد بالفعل ملف بهذا الاسم.
downloads.errorInvalidName	هذا الاسم غير مسموح به.
downloads.errorMissing	لم يعد من الممكن العثور على هذا الملف.
downloads.errorGeneric	تعذّر إكمال هذا الإجراء.
unsupportedPreview.genericType	ملف
unsupportedPreview.cannotOpen	لا يمكن لهذا التطبيق فتح هذا النوع من الملفات.
uploads.navigationTitle	الرفع
uploads.menuTitle	رفع
uploads.actionUploadFromFiles	الرفع من الملفات
uploads.actionUploadFromPhotos	الرفع من المعرض
uploads.actionTakePhoto	التقاط صورة أو فيديو
uploads.cameraDeniedTitle	الوصول إلى الكاميرا مطلوب
uploads.cameraDeniedMessage	اسمح بالوصول إلى الكاميرا في الإعدادات لالتقاط صورة أو فيديو.
uploads.destinationTitle	الرفع إلى…
uploads.destinationConfirm	الرفع إلى هنا
uploads.reviewTitleOne	رفع ملف واحد
uploads.reviewTitleMany	رفع %lld ملف
uploads.reviewSectionFiles	الملفات
uploads.reviewSectionPath	المسار
uploads.reviewSectionSize	الحجم الإجمالي
uploads.reviewChooseFolder	اختر مجلدًا
uploads.reviewUploadButton	رفع
uploads.reviewPreparing	جارٍ تحضير %lld…
uploads.reviewAddMore	إضافة المزيد من الملفات
uploads.reviewPreviewFile	معاينة %@
uploads.reviewInsecureNetworkNotice	متصل عبر http. إذا كان هذا الخادم على شبكتك المنزلية فقط، فلن يعمل الرفع عندما تكون بعيدًا عنها.
uploads.stagingFailed	تعذّر إضافة تلك الملفات. أعد المحاولة.
uploads.stagingSkipped	تعذّر تحضير %lld عنصر وتم استبعادها.
uploads.discardTitle	تجاهل الرفع؟
uploads.discardMessage	لن يتم رفع الملفات التي أضفتها.
uploads.discardConfirm	تجاهل
uploads.statusWaiting	في الانتظار
uploads.statusFailed	فشل الرفع
uploads.barTitleOne	جارٍ رفع %@
uploads.barTitleMany	جارٍ رفع %lld ملف
uploads.barFailedOne	فشل رفع واحد
uploads.barFailedMany	فشل %lld رفع
uploads.retryAll	إعادة محاولة الكل
uploads.complete	اكتمل الرفع
uploads.completeMany	تم رفع %lld ملف
uploads.completeWithFailures	تم رفع %1$lld، وفشل %2$lld
uploads.failedGeneric	تعذّر رفع هذا الملف.
uploads.clear	مسح
uploads.emptyList	لا عمليات رفع بعد.
uploads.cancelAll	إلغاء جميع عمليات الرفع
shared.navigationTitle	المشتركة
shared.segmentByMe	بواسطتي
shared.segmentWithMe	معي
shared.sectionExpired	منتهية الصلاحية
shared.badgeExpired	منتهي
shared.emptyByMe	شارك ملفًا أو مجلدًا لرؤية رابطه هنا.
shared.emptyWithMe	تظهر هنا الروابط التي يشاركها الآخرون معك.
shared.noSearchMatches	لا مشاركات تطابق ‏«%@».
shared.deleteTitle	حذف رابط المشاركة؟
shared.deleteMessage	يتوقف الرابط عن العمل فورًا. لا يتأثر الملف أو المجلد نفسه.
shared.sharedByUnknown	شخص ما
shared.metaAccess	الوصول
shared.metaExpiration	انتهاء الصلاحية
shared.metaSharedBy	تمت المشاركة بواسطة
shared.metaSharedWith	تمت المشاركة مع
shared.anyoneWithLink	أي شخص لديه الرابط
shared.linkMode	وضع الرابط
shared.actionShareLink	مشاركة الرابط
shared.actionFolderLink	رابط المجلد
shared.actionFileLink	رابط الملف
shared.moreRecipients	+%lld
shared.copiedShareLink	تم نسخ رابط المشاركة
shared.copiedFolderZip	تم نسخ رابط ZIP للمجلد
shared.copiedDirectFile	تم نسخ رابط الملف المباشر
createShare.title	إنشاء رابط مشاركة
createShare.titleCreated	تم إنشاء المشاركة
createShare.sectionLabel	التسمية
createShare.sectionAccessMode	وضع الوصول
createShare.sectionWhoCanAccess	من يمكنه الوصول
createShare.sectionShareLink	رابط المشاركة
createShare.fieldPassword	كلمة السر
createShare.togglePasswordProtect	الحماية بكلمة سر
createShare.toggleSetExpiration	تعيين تاريخ انتهاء الصلاحية
createShare.fieldExpires	ينتهي في
createShare.submit	إنشاء رابط مشاركة
createShare.loadingUsers	جارٍ تحميل المستخدمين…
createShare.noOtherUsers	لا يوجد مستخدمون آخرون للمشاركة معهم.
createShare.sharingPrefix	مشاركة:
createShare.createdBanner	تم إنشاء رابط المشاركة بنجاح!
createShare.viewInShared	عرض في المشتركة
createShare.directLinkMode	وضع الرابط المباشر
createShare.directFolderLink	رابط ZIP مباشر للمجلد
createShare.directFileLink	رابط ملف مباشر
createShare.summaryAccess	الوصول
createShare.summarySharedWith	تمت المشاركة مع
createShare.summaryPassword	كلمة السر
createShare.summaryPasswordProtected	محمي
createShare.summaryExpires	ينتهي في
createShare.summarySpecificPeople	أشخاص محددون
createShare.errorPastExpiration	اختر تاريخ انتهاء صلاحية في المستقبل.
editShare.title	تحرير رابط المشاركة
editShare.save	حفظ التغييرات
editShare.passwordKeepHint	اتركه فارغًا للاحتفاظ بكلمة السر الحالية
editShare.savedToast	تم تحديث رابط المشاركة
thumbnailSettings.navigationTitle	الصور المصغّرة
thumbnailSettings.subtitle	تحكّم في كيفية إنشاء الخادم للصور المصغّرة لكل عميل.
thumbnailSettings.enable	إنشاء صور مصغّرة
thumbnailSettings.enableHelp	أوقف التشغيل لعرض الصور الكاملة في كل مكان بدلاً من ذلك.
thumbnailSettings.quality	الجودة
thumbnailSettings.qualityHelp	الأعلى يبدو أفضل ويستخدم مساحة أكبر.
thumbnailSettings.maxDimension	الأبعاد القصوى
thumbnailSettings.maxDimensionHelp	أطول حافة للصورة المصغّرة المُنشأة، بالبكسل.
thumbnailSettings.concurrency	التزامن
thumbnailSettings.concurrencyHelp	عدد الصور المصغّرة التي ينشئها الخادم في وقت واحد.
thumbnailSettings.unavailable	إعدادات الصور المصغّرة متاحة للمسؤولين فقط.
thumbnailSettings.saveButton	حفظ التغييرات
accessRules.navigationTitle	قواعد الوصول إلى المجلدات
accessRules.subtitle	تجاوز وصول القراءة والكتابة لمسارات محددة.
accessRules.addRule	إضافة قاعدة
accessRules.empty	لا قواعد وصول مُهيأة.
accessRules.emptyHint	أضف قاعدة لتجاوز الوصول إلى مسار.
accessRules.pathLabel	المسار
accessRules.pathPlaceholder	المستندات/التقارير
accessRules.recursive	تطبيق على المجلدات الفرعية
accessRules.permissionReadWrite	قراءة وكتابة
accessRules.permissionReadOnly	للقراءة فقط
accessRules.permissionHidden	مخفي
accessRules.remove	إزالة
accessRules.unavailable	قواعد الوصول متاحة للمسؤولين فقط.
accessRules.saveButton	حفظ التغييرات
settings.rowThumbnails	الصور المصغّرة
settings.rowAccessRules	قواعد الوصول إلى المجلدات
settings.navigationTitle	الإعدادات
settings.appVersion	v. %1$@ (b. %2$@)
settings.sectionGeneral	عام
settings.sectionDisplay	العرض
settings.sectionStorage	التخزين
settings.sectionServerStorage	تخزين الخادم
settings.serverStorageUsed	%1$@ من %2$@
settings.sectionLicenses	التراخيص
settings.sectionLegal	قانوني
settings.sectionUsers	المستخدمون
settings.sectionAdmin	الإدارة
settings.toggleShowHiddenFiles	إظهار الملفات المخفية
settings.toggleRenderHTML	عرض صفحات HTML
settings.toggleRenderMarkdown	عرض ملفات Markdown
settings.toggleHaptics	الاستجابة اللمسية
settings.toggleDarkMode	الوضع الداكن
settings.toggleShowThumbnails	إظهار الصور المصغّرة
settings.toggleShowExtensions	إظهار امتدادات الملفات
settings.toggleRemoveArchives	إزالة الأرشيفات بعد التنزيل
settings.toggleKeepClipboard	الاحتفاظ بالعناصر بعد اللصق
settings.toggleKeepClipboardSubtitle	تبقى العناصر المنسوخة جاهزة للصق في مجلد آخر. العناصر المنقولة تُمسح دائمًا.
settings.rowDateFormat	تنسيق التاريخ
settings.rowLanguage	اللغة
settings.rowThumbnailSize	حجم الصورة المصغّرة
settings.rowRemoveAllDownloads	إزالة جميع التنزيلات
settings.rowClearCache	مسح ذاكرة التخزين المؤقت
settings.rowOpenSourceLicenses	تراخيص المصدر المفتوح
settings.rowPrivacyPolicy	سياسة الخصوصية
settings.rowTermsOfUse	شروط الاستخدام
settings.rowUserManagement	إدارة المستخدمين
settings.rowChangePassword	تغيير كلمة السر
settings.rowServer	الخادم
settings.storageFootnote	يؤدي تنزيل مجلد إلى ضغطه أولاً كملف ZIP على الخادم. فعّل المفتاح أعلاه لحذف ذلك الأرشيف من الخادم بمجرد حفظه على جهازك. إزالة التنزيلات أو مسح ذاكرة التخزين المؤقت يؤثر على هذا الجهاز فقط؛ لا يتأثر أي شيء على الخادم.
settings.removeAllDownloadsTitle	إزالة جميع التنزيلات؟
settings.removeAllDownloadsConfirm	إزالة الكل
settings.removeAllDownloadsMessage	يؤدي هذا إلى حذف كل ملف تم تنزيله من هذا الجهاز. تبقى على الخادم.
settings.clearCacheTitle	مسح ذاكرة التخزين المؤقت؟
settings.clearCacheConfirm	مسح
settings.clearCacheMessage	يؤدي هذا إلى مسح المعاينات والصور المصغّرة وقوائم المجلدات المحفوظة للاستخدام دون اتصال. لا يتأثر أي شيء على الخادم.
settings.signOutAlertTitle	تسجيل الخروج؟
settings.signOutMessage	ستحتاج إلى تسجيل الدخول مرة أخرى للوصول إلى ملفاتك.
settings.signOutButton	تسجيل الخروج
