# NextExplorer — 한국어 (ko). key<TAB>value.
common.cancel	취소
common.save	저장
common.edit	편집
common.retry	다시 시도
common.delete	삭제
common.remove	제거
common.clear	지우기
common.done	완료
common.ok	확인
common.openSettings	설정 열기
common.logOut	로그아웃
common.close	닫기
common.back	뒤로
common.share	공유
common.download	다운로드
common.sort	정렬
common.select	선택
common.search	검색
common.password	비밀번호
common.never	안 함
common.selectedCount	%lld개 선택됨
tab.browse	탐색
tab.favorites	즐겨찾기
tab.shared	공유됨
tab.downloads	다운로드
tab.settings	설정
sort.sheetTitle	정렬 기준
sort.name	이름
sort.size	크기
sort.kind	종류
sort.dateModified	수정한 날짜
sort.dateAdded	추가한 날짜
sort.dateShared	공유한 날짜
sort.expiration	만료
sort.email	이메일
sort.type	유형
sort.ascending	오름차순
sort.descending	내림차순
select.selectAll	모두 선택
select.deselectAll	모두 선택 해제
select.listView	목록 보기
select.gridView	격자 보기
emptyState.folderEmpty	이 폴더는 비어 있습니다.
emptyState.loadFailed	서버에 연결할 수 없습니다.
emptyState.noSearchMatches	“%@”에 대한 결과가 없습니다.
accessMode.readonly	읽기 전용
accessMode.readwrite	읽기 및 쓰기
shareTarget.anyone	링크가 있는 모든 사용자
shareTarget.users	특정 사용자
directLinkMode.auto	자동
directLinkMode.inline	보기
directLinkMode.raw	원본
directLinkMode.download	다운로드
thumbnailSize.small	작게
thumbnailSize.medium	보통
thumbnailSize.large	크게
downloadLocation.documents	문서
downloadLocation.cache	캐시
dateFormat.automatic	자동
browse.navigationTitle	탐색
browse.scopeThisFolder	이 폴더
browse.scopeEverywhere	모든 위치
browse.searchScopeInFolder	이 폴더
browse.searchScopeEverywhere	모든 위치
browse.locations	위치
browse.open	열기
browse.unsupportedFileType	지원되지 않는 파일 형식
browse.actionGetInfo	정보 보기
browse.actionPermissions	권한
browse.actionRename	이름 변경
browse.actionExtract	압축 풀기
browse.actionCompress	압축
browse.actionDownload	다운로드
browse.actionAddToFavorites	즐겨찾기에 추가
browse.actionRemoveFromFavorites	즐겨찾기에서 제거
browse.actionShare	공유 링크 만들기
browse.actionDelete	삭제
browse.renameTitle	이름 변경
browse.renameNamePlaceholder	이름
browse.actionNewFolder	폴더 만들기
browse.newFolderTitle	새 폴더
browse.newFolderPlaceholder	폴더 이름
browse.newFolderConfirm	만들기
browse.deleteConfirmTitle	삭제할까요?
browse.deleteConfirmOne	“%@”을(를) 삭제할까요?
browse.deleteConfirmMany	항목 %lld개를 삭제할까요?
browse.deleteMessage	이 작업은 취소할 수 없습니다.
browse.deleteLinkedSharesOne	여기를 가리키는 공유 링크 1개도 함께 삭제됩니다.
browse.deleteLinkedSharesMany	여기를 가리키는 공유 링크 %lld개도 함께 삭제됩니다.
browse.deleteLinkedSharesUnavailable	여기를 가리키는 링크를 확인할 수 없습니다. 존재하는 링크는 작동을 멈춥니다.
